big5_agreeableness,0.27445317293078003
facet_altruism,0.45847508600950154
facet_cooperation,0.32754010487664703
facet_modesty,0.5599993845438306
facet_morality,0.3393213255539904
facet_sympathy,0.6126904981069918
facet_trust,0.5976816214087156
big5_conscientiousness,0.22104460295273348
facet_achievement_striving,0.31062436469050764
facet_cautiousness,0.39221484281604513
facet_dutifulness,0.34795553460465634
facet_orderliness,0.21600270659146242
facet_self_discipline,0.19809345196460437
facet_self_efficacy,0.3862524564738996
big5_extraversion,0.32751243527560914
facet_activity_level,0.36744762031356815
facet_assertiveness,0.5371917103285581
facet_cheerfulness,0.2424378790121009
facet_excitement_seeking,0.774104928791649
facet_friendliness,0.31101035673145105
facet_gregariousness,0.39367929171969696
big5_neuroticism,0.20151170529824325
facet_anger,0.619428982547123
facet_anxiety,0.7522691062850002
facet_depression,0.8151484873791891
facet_immoderation,0.6495665474687332
facet_self_consciousness,0.7374555923301559
facet_vulnerability,0.7302389436408026
big5_openness,0.321778923819076
facet_adventurousness,0.3372293749420452
facet_artistic_interests,0.5210241088528023
facet_emotionality,0.556360769521896
facet_imagination,0.6447477458120545
facet_intellect,0.7619880511619062
facet_liberalism,0.8480045186889245
need_liberty,0.39159527829996427
need_ideal,0.30072178059293003
need_love,0.40741860240371486
need_practicality,0.9393219190526267
need_self_expression,0.1968100780095538
need_stability,0.21081820931989265
need_structure,0.3180781705791131
need_challenge,0.31106584740866294
need_closeness,0.329991382947744
need_curiosity,0.7933700149930139
need_excitement,0.38473211671474616
need_harmony,0.2691166084475378
value_conservation,0.17043343394802002
value_hedonism,0.38752743884529467
value_openness_to_change,0.46525251700777903
value_self_enhancement,0.3782281354470299
value_self_transcendence,0.3513250744454097
behavior_sunday,0.0
behavior_monday,0.0
behavior_tuesday,0.0
behavior_wednesday,0.0
behavior_thursday,0.0
behavior_friday,0.0
behavior_saturday,0.0
behavior_0000,0.0
behavior_0100,0.0
behavior_0200,0.0
behavior_0300,0.0
behavior_0400,0.0
behavior_0500,0.0
behavior_0600,0.0
behavior_0700,0.0
behavior_0800,0.0
behavior_0900,0.0
behavior_1000,0.0
behavior_1100,0.0
behavior_1200,0.0
behavior_1300,0.0
behavior_1400,0.0
behavior_1500,0.0
behavior_1600,0.0
behavior_1700,0.0
behavior_1800,0.0
behavior_1900,0.0
behavior_2000,0.0
behavior_2100,0.0
behavior_2200,0.0
behavior_2300,0.0
word_count,208
processed_language,en
big5_agreeableness_raw,0.7183695608276707
facet_altruism_raw,0.7014314310549382
facet_cooperation_raw,0.5524755191435148
facet_modesty_raw,0.45634176904319457
facet_morality_raw,0.6062617859245973
facet_sympathy_raw,0.6744118580623236
facet_trust_raw,0.5959919589089686
big5_conscientiousness_raw,0.5921995784172477
facet_achievement_striving_raw,0.6622395827974175
facet_cautiousness_raw,0.4752056159710099
facet_dutifulness_raw,0.6493287217490054
facet_orderliness_raw,0.4684175960381445
facet_self_discipline_raw,0.5302364436048879
facet_self_efficacy_raw,0.7429325914310676
big5_extraversion_raw,0.5310686641295889
facet_activity_level_raw,0.5230524208670384
facet_assertiveness_raw,0.6487259194544909
facet_cheerfulness_raw,0.5946978684182784
facet_excitement_seeking_raw,0.6355075987339333
facet_friendliness_raw,0.5357625257821391
facet_gregariousness_raw,0.43947588599495646
big5_neuroticism_raw,0.4202258377337404
facet_anger_raw,0.5523389773823809
facet_anxiety_raw,0.6405982552693662
facet_depression_raw,0.5052550065296872
facet_immoderation_raw,0.5153568186797609
facet_self_consciousness_raw,0.5801552845645996
facet_vulnerability_raw,0.506710960473228
big5_openness_raw,0.733878273529701
facet_adventurousness_raw,0.489878541883041
facet_artistic_interests_raw,0.6679938138084978
facet_emotionality_raw,0.6539739932329988
facet_imagination_raw,0.7532953016294621
facet_intellect_raw,0.6402363871225464
facet_liberalism_raw,0.5680016434564404
need_liberty_raw,0.7262034697262874
need_ideal_raw,0.666232552094534
need_love_raw,0.7572675062874161
need_practicality_raw,0.7612426310964594
need_self_expression_raw,0.6456116886403209
need_stability_raw,0.7088572350015595
need_structure_raw,0.6832595764333184
need_challenge_raw,0.7096815693360986
need_closeness_raw,0.7738337252103663
need_curiosity_raw,0.8381836762300925
need_excitement_raw,0.6619242423802025
need_harmony_raw,0.7880048230458209
value_conservation_raw,0.6225415847973286
value_hedonism_raw,0.7199330107370641
value_openness_to_change_raw,0.780905255406235
value_self_enhancement_raw,0.6927243680625557
value_self_transcendence_raw,0.8267410066231893
big5_agreeableness_significant,true
facet_altruism_significant,true
facet_cooperation_significant,true
facet_modesty_significant,true
facet_morality_significant,true
facet_sympathy_significant,true
facet_trust_significant,true
big5_conscientiousness_significant,true
facet_achievement_striving_significant,true
facet_cautiousness_significant,true
facet_dutifulness_significant,true
facet_orderliness_significant,true
facet_self_discipline_significant,true
facet_self_efficacy_significant,true
big5_extraversion_significant,true
facet_activity_level_significant,true
facet_assertiveness_significant,true
facet_cheerfulness_significant,true
facet_excitement_seeking_significant,true
facet_friendliness_significant,true
facet_gregariousness_significant,true
big5_neuroticism_significant,true
facet_anger_significant,true
facet_anxiety_significant,true
facet_depression_significant,true
facet_immoderation_significant,true
facet_self_consciousness_significant,true
facet_vulnerability_significant,true
big5_openness_significant,true
facet_adventurousness_significant,true
facet_artistic_interests_significant,true
facet_emotionality_significant,true
facet_imagination_significant,true
facet_intellect_significant,true
facet_liberalism_significant,true
need_liberty_significant,true
need_ideal_significant,true
need_love_significant,true
need_practicality_significant,true
need_self_expression_significant,true
need_stability_significant,true
need_structure_significant,true
need_challenge_significant,true
need_closeness_significant,true
need_curiosity_significant,true
need_excitement_significant,true
need_harmony_significant,true
value_conservation_significant,true
value_hedonism_significant,true
value_openness_to_change_significant,true
value_self_enhancement_significant,true
value_self_transcendence_significant,true
consumption_preferences_spur_of_moment,1.0
consumption_preferences_credit_card_payment,1.0
consumption_preferences_influence_brand_name,0.0
consumption_preferences_influence_utility,0.5
consumption_preferences_influence_online_ads,0.0
consumption_preferences_influence_social_media,0.0
consumption_preferences_influence_family_members,0.0
consumption_preferences_clothes_quality,0.0
consumption_preferences_clothes_style,1.0
consumption_preferences_clothes_comfort,1.0
consumption_preferences_automobile_ownership_cost,0.5
consumption_preferences_automobile_safety,0.0
consumption_preferences_music_rap,0.5
consumption_preferences_music_country,0.0
consumption_preferences_music_r_b,0.5
consumption_preferences_music_hip_hop,1.0
consumption_preferences_music_live_event,1.0
consumption_preferences_music_playing,1.0
consumption_preferences_music_latin,0.5
consumption_preferences_music_rock,1.0
consumption_preferences_music_classical,0.5
consumption_preferences_gym_membership,0.0
consumption_preferences_outdoor,0.5
consumption_preferences_eat_out,0.5
consumption_preferences_movie_romance,0.0
consumption_preferences_movie_adventure,0.0
consumption_preferences_movie_horror,0.0
consumption_preferences_movie_musical,0.0
consumption_preferences_movie_historical,0.0
consumption_preferences_movie_science_fiction,1.0
consumption_preferences_movie_war,0.0
consumption_preferences_movie_drama,0.0
consumption_preferences_movie_action,1.0
consumption_preferences_movie_documentary,1.0
consumption_preferences_read_frequency,1.0
consumption_preferences_books_entertainment_magazines,0.0
consumption_preferences_books_non_fiction,0.0
consumption_preferences_books_financial_investing,0.0
consumption_preferences_books_autobiographies,0.0
consumption_preferences_volunteer,0.0
