big5_agreeableness,0.014525592475018667
facet_altruism,0.9052640476823727
facet_cooperation,0.5773221817577258
facet_modesty,0.3479255943774259
facet_morality,0.4501239157207956
facet_sympathy,0.9929588574141555
facet_trust,0.5729101653227278
big5_conscientiousness,0.5744458465139053
facet_achievement_striving,0.4110271044911823
facet_cautiousness,0.8354690591402687
facet_dutifulness,0.5592836248484289
facet_orderliness,0.313039439727564
facet_self_discipline,0.10839598268792522
facet_self_efficacy,0.5687466697075637
big5_extraversion,0.0396425858509194
facet_activity_level,0.594282131214333
facet_assertiveness,0.7294671544562368
facet_cheerfulness,0.016653232278221186
facet_excitement_seeking,0.3000486942197932
facet_friendliness,0.10581400616137182
facet_gregariousness,0.005559047222418234
big5_neuroticism,0.6788627415178041
facet_anger,0.1852107364417896
facet_anxiety,0.5257924986808301
facet_depression,0.8329687533011345
facet_immoderation,0.12857499167072117
facet_self_consciousness,0.8069329114061119
facet_vulnerability,0.46216025991060583
big5_openness,0.9997222148829665
facet_adventurousness,0.19681548488914113
facet_artistic_interests,0.9947082808174781
facet_emotionality,0.8511942962374297
facet_imagination,0.8421981818194989
facet_intellect,0.999879445750088
facet_liberalism,0.9377722698490013
need_liberty,0.10203166988524087
need_ideal,0.11618283878145741
need_love,0.04216377627491169
need_practicality,0.08948126400314022
need_self_expression,0.1907309795259428
need_stability,0.2069906997296993
need_structure,0.5104309093928119
need_challenge,0.005294338321380543
need_closeness,0.1699390704476288
need_curiosity,0.9428404921890443
need_excitement,0.08706119980036348
need_harmony,0.2013134242811519
value_conservation,0.11212152705711848
value_hedonism,0.026904737143254698
value_openness_to_change,0.5477112193458896
value_self_enhancement,0.04347591095728803
value_self_transcendence,0.2559826542715843
behavior_sunday,0.0
behavior_monday,0.0
behavior_tuesday,0.0
behavior_wednesday,0.0
behavior_thursday,0.0
behavior_friday,0.0
behavior_saturday,0.0
behavior_0000,0.0
behavior_0100,0.0
behavior_0200,0.0
behavior_0300,0.0
behavior_0400,0.0
behavior_0500,0.0
behavior_0600,0.0
behavior_0700,0.0
behavior_0800,0.0
behavior_0900,0.0
behavior_1000,0.0
behavior_1100,0.0
behavior_1200,0.0
behavior_1300,0.0
behavior_1400,0.0
behavior_1500,0.0
behavior_1600,0.0
behavior_1700,0.0
behavior_1800,0.0
behavior_1900,0.0
behavior_2000,0.0
behavior_2100,0.0
behavior_2200,0.0
behavior_2300,0.0
word_count,44196
processed_language,en
big5_agreeableness_raw,0.6554225284674415
facet_altruism_raw,0.7511204877672879
facet_cooperation_raw,0.5911402602341511
facet_modesty_raw,0.42774780863083645
facet_morality_raw,0.6198964656545892
facet_sympathy_raw,0.7572269618112845
facet_trust_raw,0.5933733547789173
big5_conscientiousness_raw,0.636805702032492
facet_achievement_striving_raw,0.6764910497259762
facet_cautiousness_raw,0.5540843999900382
facet_dutifulness_raw,0.6625530982979663
facet_orderliness_raw,0.47819558951190405
facet_self_discipline_raw,0.5118177560291111
