big5_agreeableness,0.15884453476029448
facet_altruism,0.5671663008511664
facet_cooperation,0.6347241782215678
facet_modesty,0.6042542266423099
facet_morality,0.687522547364132
facet_sympathy,0.4768336850987481
facet_trust,0.5601246706727714
big5_conscientiousness,0.6711218309842546
facet_achievement_striving,0.7446200477004739
facet_cautiousness,0.6479129341788042
facet_dutifulness,0.4101665871961549
facet_orderliness,0.273878150538989
facet_self_discipline,0.4231952458866818
facet_self_efficacy,0.3877358139359514
big5_extraversion,0.5815872863527126
facet_activity_level,0.8554297885638772
facet_assertiveness,0.8285239729274074
facet_cheerfulness,0.017746460119103247
facet_excitement_seeking,0.10569718953741386
facet_friendliness,0.18657579099630722
facet_gregariousness,0.10654067909514509
big5_neuroticism,0.8418911131803914
facet_anger,0.11640076033868546
facet_anxiety,0.42728959255951693
facet_depression,0.6679636149550594
facet_immoderation,0.24649629042335758
facet_self_consciousness,0.6490478297272887
facet_vulnerability,0.5788214908004088
big5_openness,0.7254132341752078
facet_adventurousness,0.6301161191418831
facet_artistic_interests,0.3240097676706248
facet_emotionality,0.34231255915085146
facet_imagination,0.3174900616085846
facet_intellect,0.8951358267586895
facet_liberalism,0.937575594523147
need_liberty,0.2797293057260911
need_ideal,0.053722141040095484
need_love,0.24914039613076822
need_practicality,0.252426491155976
need_self_expression,0.26121029885063785
need_stability,0.20108122158425412
need_structure,0.4104020210461386
need_challenge,0.09733162730611855
need_closeness,0.06901466815850965
need_curiosity,0.6776464399606642
need_excitement,0.08585358849377772
need_harmony,0.07480862457967075
value_conservation,0.04800027387271927
value_hedonism,0.05441386553841865
value_openness_to_change,0.24468682266567054
value_self_enhancement,0.031060573026360505
value_self_transcendence,0.6513819847325962
behavior_sunday,0.0
behavior_monday,0.0
behavior_tuesday,0.0
behavior_wednesday,0.0
behavior_thursday,0.0
behavior_friday,0.0
behavior_saturday,0.0
behavior_0000,0.0
behavior_0100,0.0
behavior_0200,0.0
behavior_0300,0.0
behavior_0400,0.0
behavior_0500,0.0
behavior_0600,0.0
behavior_0700,0.0
behavior_0800,0.0
behavior_0900,0.0
behavior_1000,0.0
behavior_1100,0.0
behavior_1200,0.0
behavior_1300,0.0
behavior_1400,0.0
behavior_1500,0.0
behavior_1600,0.0
behavior_1700,0.0
behavior_1800,0.0
behavior_1900,0.0
behavior_2000,0.0
behavior_2100,0.0
behavior_2200,0.0
behavior_2300,0.0
word_count,1516
processed_language,en
big5_agreeableness_raw,0.70247495997677
facet_altruism_raw,0.711023931119648
facet_cooperation_raw,0.600137893546391
facet_modesty_raw,0.46232585427262307
facet_morality_raw,0.648876380903836
facet_sympathy_raw,0.66125960340864
facet_trust_raw,0.5920343292582251
big5_conscientiousness_raw,0.6487135078003398
facet_achievement_striving_raw,0.7232176387394473
facet_cautiousness_raw,0.516441861105377
facet_dutifulness_raw,0.6533383960952088
facet_orderliness_raw,0.4744656018519088
facet_self_discipline_raw,0.5614250949825372
facet_self_efficacy_raw,0.7430688590697911
big5_extraversion_raw,0.5601966290788203
facet_activity_level_raw,0.5946187462365589
facet_assertiveness_raw,0.6914669565019844
facet_cheerfulness_raw,0.5475738735988764
