big5_agreeableness,0.07410351982877061
facet_altruism,0.721619550498954
facet_cooperation,0.4330072472600546
facet_modesty,0.24803013588264639
facet_morality,0.5475016671863435
facet_sympathy,0.8779233268103444
facet_trust,0.8488265435344106
big5_conscientiousness,0.8929311885972369
facet_achievement_striving,0.9318239068811947
facet_cautiousness,0.9211052628918537
facet_dutifulness,0.5675755748051385
facet_orderliness,0.5675160964143524
facet_self_discipline,0.8281594330146409
facet_self_efficacy,0.9659450794571938
big5_extraversion,0.6443280884549655
facet_activity_level,0.9612181465160361
facet_assertiveness,0.989733272170971
facet_cheerfulness,0.22864724572108336
facet_excitement_seeking,0.381416589003127
facet_friendliness,0.4853212150105819
facet_gregariousness,0.0818565937321617
big5_neuroticism,0.9685776804614541
facet_anger,0.22342178821962544
facet_anxiety,0.11104519984222305
facet_depression,0.3067089439785417
facet_immoderation,0.004471417034220437
facet_self_consciousness,0.29355861523527216
facet_vulnerability,0.09191661333339579
big5_openness,0.9108074923414259
facet_adventurousness,0.823682807241839
facet_artistic_interests,0.458475601254942
facet_emotionality,0.2926032881602849
facet_imagination,0.45602743427872444
facet_intellect,0.9811956986632411
facet_liberalism,0.8434344806383848
need_liberty,0.11091877951640006
need_ideal,0.15140987003913497
need_love,0.07090076207293344
need_practicality,0.41582096607596386
need_self_expression,0.11159676974990979
need_stability,0.6988610236653738
need_structure,0.9757388797251658
need_challenge,0.4171616339206807
need_closeness,0.15429753381650224
need_curiosity,0.6831233448783453
need_excitement,0.1564426662092876
need_harmony,0.09378123488435752
value_conservation,0.20303490808232916
value_hedonism,0.040739472111621655
value_openness_to_change,0.3129959291531284
value_self_enhancement,0.05636807089892043
value_self_transcendence,0.2754317449785466
behavior_sunday,0.0
behavior_monday,0.0
behavior_tuesday,0.0
behavior_wednesday,0.0
behavior_thursday,0.0
behavior_friday,0.0
behavior_saturday,0.0
behavior_0000,0.0
behavior_0100,0.0
behavior_0200,0.0
behavior_0300,0.0
behavior_0400,0.0
behavior_0500,0.0
behavior_0600,0.0
behavior_0700,0.0
behavior_0800,0.0
behavior_0900,0.0
behavior_1000,0.0
behavior_1100,0.0
behavior_1200,0.0
behavior_1300,0.0
behavior_1400,0.0
behavior_1500,0.0
behavior_1600,0.0
behavior_1700,0.0
behavior_1800,0.0
behavior_1900,0.0
behavior_2000,0.0
behavior_2100,0.0
behavior_2200,0.0
behavior_2300,0.0
word_count,2625
processed_language,en
big5_agreeableness_raw,0.6847175695540881
facet_altruism_raw,0.7257050574996157
facet_cooperation_raw,0.5692239328757756
facet_modesty_raw,0.412457372947754
facet_morality_raw,0.6314424132787483
facet_sympathy_raw,0.7079503725734317
facet_trust_raw,0.6282931580209434
big5_conscientiousness_raw,0.6859914516984462
facet_achievement_striving_raw,0.7672599471110877
facet_cautiousness_raw,0.5816411817429246
facet_dutifulness_raw,0.6630686511680788
facet_orderliness_raw,0.49972624204343397
facet_self_discipline_raw,0.6157610558745008
facet_self_efficacy_raw,0.8172563587678374
big5_extraversion_raw,0.5675191831057669
facet_activity_level_raw,0.6306923467896478
facet_assertiveness_raw,0.7598589399686414
facet_cheerfulness_raw,0.5931935082930558
facet_excitement_seeking_raw,0.5908095671885776
facet_friendliness_raw,0.558642787968212
facet_gregariousness_raw,0.381744476941674
big5_neuroticism_raw,0.572233528244294
facet_anger_raw,0.4941167850501157
facet_anxiety_raw,0.5108440456001898
facet_depression_raw,0.41644043611157167
facet_immoderation_raw,0.40011562071883433
facet_self_consciousness_raw,0.5181412486498798
facet_vulnerability_raw,0.38294671479627374
big5_openness_raw,0.791617074805888
facet_adventurousness_raw,0.5378760366845337
facet_artistic_interests_raw,0.6600459980633337
facet_emotionality_raw,0.6259436483274824
facet_imagination_raw,0.729372772544298
facet_intellect_raw,0.7034819825872793
facet_liberalism_raw,0.567032659932637
need_liberty_raw,0.6907460053158953
need_ideal_raw,0.6420875821380655
need_love_raw,0.6971936921862733
need_practicality_raw,0.7231800513200483
need_self_expression_raw,0.6330202337802702
need_stability_raw,0.7510453856373225
need_structure_raw,0.7495343429509348
need_challenge_raw,0.7224038052769526
need_closeness_raw,0.7481677768457979
need_curiosity_raw,0.829189952477018
need_excitement_raw,0.6050397455988108
need_harmony_raw,0.7637530198065993
value_conservation_raw,0.6280207519703958
value_hedonism_raw,0.6268677107020718
value_openness_to_change_raw,0.765474328562107
value_self_enhancement_raw,0.6367486898889622
value_self_transcendence_raw,0.8232436852676441
big5_agreeableness_significant,true
facet_altruism_significant,true
facet_cooperation_significant,true
facet_modesty_significant,true
facet_morality_significant,true
facet_sympathy_significant,true
facet_trust_significant,true
big5_conscientiousness_significant,true
facet_achievement_striving_significant,true
facet_cautiousness_significant,true
facet_dutifulness_significant,true
facet_orderliness_significant,true
facet_self_discipline_significant,true
facet_self_efficacy_significant,true
big5_extraversion_significant,true
facet_activity_level_significant,true
facet_assertiveness_significant,true
facet_cheerfulness_significant,true
facet_excitement_seeking_significant,true
facet_friendliness_significant,true
facet_gregariousness_significant,true
big5_neuroticism_significant,true
facet_anger_significant,true
facet_anxiety_significant,true
facet_depression_significant,true
facet_immoderation_significant,true
facet_self_consciousness_significant,true
facet_vulnerability_significant,true
big5_openness_significant,true
facet_adventurousness_significant,true
facet_artistic_interests_significant,true
facet_emotionality_significant,true
facet_imagination_significant,true
facet_intellect_significant,true
facet_liberalism_significant,true
need_liberty_significant,true
need_ideal_significant,true
need_love_significant,true
need_practicality_significant,true
need_self_expression_significant,true
need_stability_significant,true
need_structure_significant,true
need_challenge_significant,true
