big5_agreeableness,0.10925331628948481
facet_altruism,0.5525547872458295
facet_cooperation,0.6653699586299917
facet_modesty,0.5296173089700994
facet_morality,0.8373020009157992
facet_sympathy,0.8920950932047844
facet_trust,0.7374078461427471
big5_conscientiousness,0.8853629722590252
facet_achievement_striving,0.9221721870941031
facet_cautiousness,0.9472559060077805
facet_dutifulness,0.4888937297816708
facet_orderliness,0.4012807772843173
facet_self_discipline,0.8380796725993835
facet_self_efficacy,0.6457631590824336
big5_extraversion,0.5629213477994818
facet_activity_level,0.9715704516544647
facet_assertiveness,0.9700207560846434
facet_cheerfulness,0.1368430789368904
facet_excitement_seeking,0.058077403166382435
facet_friendliness,0.35540885170077385
facet_gregariousness,0.0868797563862379
big5_neuroticism,0.9737352251801824
facet_anger,0.08729580883942173
facet_anxiety,0.08041604443369144
facet_depression,0.3192472066253881
facet_immoderation,0.03776728978129856
facet_self_consciousness,0.09319504388766575
facet_vulnerability,0.15706770377948537
big5_openness,0.9063020019548802
facet_adventurousness,0.8219283915204614
facet_artistic_interests,0.47221040710581996
facet_emotionality,0.1396165843604361
facet_imagination,0.06841144687887174
facet_intellect,0.9393669777354616
facet_liberalism,0.8625571394140172
need_liberty,0.044208035975792426
need_ideal,0.010530642486503594
need_love,0.021746356336293626
need_practicality,0.07680114029466023
need_self_expression,0.04621003095058579
need_stability,0.5465922559241374
need_structure,0.896307139291125
need_challenge,0.044930117725336116
need_closeness,0.13982163846672457
need_curiosity,0.4470473181124138
need_excitement,0.041261017147121826
need_harmony,0.013371381292692663
value_conservation,0.04545104200328598
value_hedonism,0.005205964017343745
value_openness_to_change,0.32451286443399824
value_self_enhancement,0.005606772161649287
value_self_transcendence,0.1793022070956657
behavior_sunday,0.0
behavior_monday,0.0
behavior_tuesday,0.0
behavior_wednesday,0.0
behavior_thursday,0.0
behavior_friday,0.0
behavior_saturday,0.0
behavior_0000,0.0
behavior_0100,0.0
behavior_0200,0.0
behavior_0300,0.0
behavior_0400,0.0
behavior_0500,0.0
behavior_0600,0.0
behavior_0700,0.0
behavior_0800,0.0
behavior_0900,0.0
behavior_1000,0.0
behavior_1100,0.0
behavior_1200,0.0
behavior_1300,0.0
behavior_1400,0.0
