big5_agreeableness,0.040607815220756016
facet_altruism,0.4044037844611119
facet_cooperation,0.3091111065301477
facet_modesty,0.20343109780562857
facet_morality,0.29998604293166486
facet_sympathy,0.8438477492990057
facet_trust,0.7977399076874184
big5_conscientiousness,0.9527036399936082
facet_achievement_striving,0.9124385461629951
facet_cautiousness,0.9106765131267125
facet_dutifulness,0.4257493782248104
facet_orderliness,0.4623215258270946
facet_self_discipline,0.7757483637634854
facet_self_efficacy,0.9085691206077668
big5_extraversion,0.7455520646169005
facet_activity_level,0.9292123091804019
facet_assertiveness,0.9647393074341968
facet_cheerfulness,0.04395856074681226
facet_excitement_seeking,0.25285364238370794
facet_friendliness,0.20663749773288914
facet_gregariousness,0.019739676688254604
big5_neuroticism,0.9873159041221524
facet_anger,0.48142292860281094
facet_anxiety,0.1953288128004136
facet_depression,0.5763554278165613
facet_immoderation,0.010167999543964135
facet_self_consciousness,0.35618052774946196
facet_vulnerability,0.2077320540851077
big5_openness,0.9820445453485154
facet_adventurousness,0.7746489803585619
facet_artistic_interests,0.44341086075842967
facet_emotionality,0.09610474942154812
facet_imagination,0.3932831448189875
facet_intellect,0.9926575735891192
facet_liberalism,0.7964094912770614
need_liberty,0.04802742082458039
need_ideal,0.0716900597113731
need_love,0.015259244650573878
need_practicality,0.31200588719624167
need_self_expression,0.012529288651499437
need_stability,0.41570066887374524
need_structure,0.8898753643394552
need_challenge,0.25772007367561445
need_closeness,0.0475011977988819
need_curiosity,0.6249188622402266
need_excitement,0.09331561856805098
need_harmony,0.011413599871091973
value_conservation,0.039688670713322216
value_hedonism,0.01992154047996797
value_openness_to_change,0.3670389067004662
value_self_enhancement,0.07337939370184016
value_self_transcendence,0.05973603660318494
behavior_sunday,0.0
behavior_monday,0.0
behavior_tuesday,0.0
behavior_wednesday,0.0
behavior_thursday,0.0
behavior_friday,0.0
behavior_saturday,0.0
behavior_0000,0.0
behavior_0100,0.0
behavior_0200,0.0
behavior_0300,0.0
behavior_0400,0.0
behavior_0500,0.0
behavior_0600,0.0
behavior_0700,0.0
behavior_0800,0.0
behavior_0900,0.0
behavior_1000,0.0
behavior_1100,0.0
behavior_1200,0.0
behavior_1300,0.0
behavior_1400,0.0
behavior_1500,0.0
behavior_1600,0.0
behavior_1700,0.0
behavior_1800,0.0
behavior_1900,0.0
behavior_2000,0.0
behavior_2100,0.0
behavior_2200,0.0
behavior_2300,0.0
word_count,10659
processed_language,en
big5_agreeableness_raw,0.6728793688609822
facet_altruism_raw,0.6966012162370261
facet_cooperation_raw,0.5493633895416716
facet_modesty_raw,0.4046095786704702
facet_morality_raw,0.6010656581120161
facet_sympathy_raw,0.7020596679441514
facet_trust_raw,0.6201427848284202
big5_conscientiousness_raw,0.7060183354968339
facet_achievement_striving_raw,0.7601871936420032
facet_cautiousness_raw,0.5773731084178104
facet_dutifulness_raw,0.6543157771593492
facet_orderliness_raw,0.4910577137779081
facet_self_discipline_raw,0.606757600826206
facet_self_efficacy_raw,0.7999436051470239
big5_extraversion_raw,0.5804826001581601
facet_activity_level_raw,0.6155949380785792
facet_assertiveness_raw,0.734468509848518
facet_cheerfulness_raw,0.5608700309800958
facet_excitement_seeking_raw,0.5753855018171541
facet_friendliness_raw,0.519454171268527
facet_gregariousness_raw,0.3474811958965477
big5_neuroticism_raw,0.5933988807428501
facet_anger_raw,0.533168131113503
facet_anxiety_raw,0.5355697852701136
facet_depression_raw,0.4606364176394204
facet_immoderation_raw,0.41142079420470457
facet_self_consciousness_raw,0.5273144587877227
facet_vulnerability_raw,0.4157407446987371
big5_openness_raw,0.8156321124586882
facet_adventurousness_raw,0.5316431985873675
facet_artistic_interests_raw,0.6581196720363532
facet_emotionality_raw,0.5950296838358052
facet_imagination_raw,0.7214093621962995
facet_intellect_raw,0.7201898801856889
facet_liberalism_raw,0.557976282764401
need_liberty_raw,0.674164158948829
need_ideal_raw,0.6215146568607773
need_love_raw,0.6634248136828258
need_practicality_raw,0.7171828564725135
need_self_expression_raw,0.5977506430395394
need_stability_raw,0.7276686545246661
need_structure_raw,0.7292956794466441
need_challenge_raw,0.7026152903681064
need_closeness_raw,0.719254130267609
need_curiosity_raw,0.8250308809260188
need_excitement_raw,0.5803016358806774
need_harmony_raw,0.7306562308046306
value_conservation_raw,0.5864179355358848
value_hedonism_raw,0.6068537131665147
value_openness_to_change_raw,0.7711686646339379
value_self_enhancement_raw,0.6426687480681534
value_self_transcendence_raw,0.8075988858650344
big5_agreeableness_significant,true
facet_altruism_significant,true
facet_cooperation_significant,true
facet_modesty_significant,true
facet_morality_significant,true
facet_sympathy_significant,true
facet_trust_significant,true
big5_conscientiousness_significant,true
facet_achievement_striving_significant,true
facet_cautiousness_significant,true
facet_dutifulness_significant,true
facet_orderliness_significant,true
facet_self_discipline_significant,true
facet_self_efficacy_significant,true
big5_extraversion_significant,true
facet_activity_level_significant,true
facet_assertiveness_significant,true
facet_cheerfulness_significant,true
facet_excitement_seeking_significant,true
facet_friendliness_significant,true
facet_gregariousness_significant,true
big5_neuroticism_significant,true
facet_anger_significant,true
facet_anxiety_significant,true
facet_depression_significant,true
facet_immoderation_significant,true
facet_self_consciousness_significant,true
facet_vulnerability_significant,true
big5_openness_significant,true
facet_adventurousness_significant,true
facet_artistic_interests_significant,true
facet_emotionality_significant,true
facet_imagination_significant,true
facet_intellect_significant,true
facet_liberalism_significant,true
need_liberty_significant,true
need_ideal_significant,true
need_love_significant,true
need_practicality_significant,true
need_self_expression_significant,true
need_stability_significant,true
need_structure_significant,true
need_challenge_significant,true
need_closeness_significant,true
need_curiosity_significant,true
need_excitement_significant,true
need_harmony_significant,true
value_conservation_significant,true
value_hedonism_significant,true
value_openness_to_change_significant,true
value_self_enhancement_significant,true
value_self_transcendence_significant,true
consumption_preferences_spur_of_moment,0.0
consumption_preferences_credit_card_payment,1.0
consumption_preferences_influence_brand_name,1.0
consumption_preferences_influence_utility,0.0
consumption_preferences_influence_online_ads,0.0
consumption_preferences_influence_social_media,0.0
consumption_preferences_influence_family_members,0.0
consumption_preferences_clothes_quality,1.0
consumption_preferences_clothes_style,0.0
consumption_preferences_clothes_comfort,1.0
consumption_preferences_automobile_ownership_cost,1.0
consumption_preferences_automobile_safety,0.5
consumption_preferences_music_rap,0.0
consumption_preferences_music_country,0.5
consumption_preferences_music_r_b,0.5
consumption_preferences_music_hip_hop,0.0
consumption_preferences_music_live_event,1.0
consumption_preferences_music_playing,0.0
consumption_preferences_music_latin,1.0
consumption_preferences_music_rock,0.5
consumption_preferences_music_classical,1.0
consumption_preferences_gym_membership,0.0
