big5_agreeableness,0.11840829980853806
facet_altruism,0.40225058334226077
facet_cooperation,0.9611801126018916
facet_modesty,0.7187032215373244
facet_morality,0.6758847892560909
facet_sympathy,0.6895411797101907
facet_trust,0.706202365108175
big5_conscientiousness,0.36540793493127477
facet_achievement_striving,0.33215763868247583
facet_cautiousness,0.8358347805828938
facet_dutifulness,0.9033024193539414
facet_orderliness,0.6761821523770938
facet_self_discipline,0.3313291392062714
facet_self_efficacy,0.04796437546478438
big5_extraversion,0.6018377961927982
facet_activity_level,0.7163706436204016
facet_assertiveness,0.01914970478912581
facet_cheerfulness,0.006801841246158957
facet_excitement_seeking,1.0100574799620787E-4
facet_friendliness,0.031300317443317016
facet_gregariousness,0.009856976654514404
big5_neuroticism,0.9482644492728891
facet_anger,0.23359056592175692
facet_anxiety,0.40857394431708
facet_depression,0.8650541223300918
facet_immoderation,0.006090803302228387
facet_self_consciousness,0.9042199373272837
facet_vulnerability,0.7649207811169016
big5_openness,0.9999817393872018
facet_adventurousness,0.5068261037458879
facet_artistic_interests,0.8616395589965447
facet_emotionality,0.5816730574635525
facet_imagination,0.43329551488086004
facet_intellect,0.9007901548508033
facet_liberalism,0.920149557626929
need_liberty,0.027736402840456753
need_ideal,0.03849566466337828
need_love,0.012664376979796832
need_practicality,0.0016605034515980166
need_self_expression,0.3595693517032903
need_stability,0.13805291687091958
need_structure,0.036859963622845215
need_challenge,0.0028088609437881273
need_closeness,0.050528709364539015
need_curiosity,0.9877372386888223
need_excitement,0.12515826590456697
need_harmony,0.023943468035403315
value_conservation,0.02603395513641782
value_hedonism,0.00603410951978911
value_openness_to_change,0.4994812061916226
value_self_enhancement,0.035667778534190564
value_self_transcendence,0.2482013346287722
behavior_sunday,0.0
behavior_monday,0.0
behavior_tuesday,0.0
behavior_wednesday,0.0
behavior_thursday,0.0
behavior_friday,0.0
behavior_saturday,0.0
behavior_0000,0.0
behavior_0100,0.0
behavior_0200,0.0
behavior_0300,0.0
behavior_0400,0.0
behavior_0500,0.0
behavior_0600,0.0
behavior_0700,0.0
behavior_0800,0.0
behavior_0900,0.0
behavior_1000,0.0
behavior_1100,0.0
behavior_1200,0.0
behavior_1300,0.0
behavior_1400,0.0
behavior_1500,0.0
behavior_1600,0.0
behavior_1700,0.0
behavior_1800,0.0
behavior_1900,0.0
behavior_2000,0.0
behavior_2100,0.0
behavior_2200,0.0
behavior_2300,0.0
word_count,287
processed_language,en
big5_agreeableness_raw,0.6951695373967646
facet_altruism_raw,0.6964061189638937
facet_cooperation_raw,0.6856989516417373
facet_modesty_raw,0.4789272546630255
facet_morality_raw,0.6473373208418045
facet_sympathy_raw,0.6823623087122567
facet_trust_raw,0.6081440353762945
big5_conscientiousness_raw,0.6120046651289011
facet_achievement_striving_raw,0.6654225140577688
facet_cautiousness_raw,0.5541776415201081
facet_dutifulness_raw,0.6907516134325625
facet_orderliness_raw,0.5091270193157656
facet_self_discipline_raw,0.5498723462941091
facet_self_efficacy_raw,0.6945474685386681
big5_extraversion_raw,0.5625237970022318
facet_activity_level_raw,0.5696526468055817
facet_assertiveness_raw,0.5404971483994334
facet_cheerfulness_raw,0.5353290805018656
facet_excitement_seeking_raw,0.44602487431691396
facet_friendliness_raw,0.46709811030918874
facet_gregariousness_raw,0.3334670660700534
big5_neuroticism_raw,0.5591532903819253
facet_anger_raw,0.4959550236313693
facet_anxiety_raw,0.5783437058558341
facet_depression_raw,0.5183205154190911
facet_immoderation_raw,0.4042431917219721
